Id,ele,slope,spi,tri,twi,plc,prc,CS_perc,litho_13,litho_14,litho_15,litho_16,litho_18,litho_19,litho_22,litho_23,litho_24,litho_25,uso_1,uso_2,uso_3,uso_4,uso_5,uso_6,asp_N,asp_NE,asp_E,asp_SE,asp_S,asp_SW,asp_W,asp_NW
10993,170.6685486,5.055790424,-6432.33252,0.564479113,14.64841938,-0.026877357,0.000702777,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10822,362.5317993,5.823421955,-49.51540756,0.575865924,11.51292515,0.013918507,0.000703549,35,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1889,228.8438721,33.62368011,-1081.336792,4.207268238,13.59236717,0.001678594,0.000707352,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1492,227.04776,32.72333527,1854.240723,4.068428516,4.9039855,0.003672845,0.000709207,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1589,252.4021759,22.47334099,157.0202026,2.617025375,6.351190567,-0.000364322,0.000709945,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10131,250.9067078,15.75703716,78.58132172,1.791758537,10.39138412,-0.003202204,0.000712419,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10618,261.0099792,32.72180176,1842.992798,4.064788342,4.910069942,0.00137329,0.000713516,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10867,304.9321899,19.90934563,535.0635986,2.296866894,5.125179291,-0.012825144,0.000718181,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1738,350.2425537,20.93592453,-529.3830566,2.426933765,12.61153793,0.007400446,0.000718926,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
657,330.9942017,16.96629906,309.5566406,1.930748105,3.475199223,-0.000225631,0.00072102,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10700,274.8494263,4.951554775,-820.234436,0.561472535,12.20607281,0.005131804,0.000726855,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2086,375.7949524,32.15719604,366.1680603,3.978994131,6.079836845,-0.004220953,0.000727359,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10268,154.6335907,2.507212639,-1692.442871,0.277011186,14.64841938,-0.013454458,0.000727876,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
546,308.7232666,11.51160145,-352.5480652,1.312642813,12.20607281,0.019270075,0.0007284,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10847,267.4356384,12.05476952,-8927.255859,1.356472611,16.58182907,-0.015965078,0.000736989,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1994,316.095459,21.40465927,-66.44829559,2.4826684,11.51292515,0.004681703,0.000737617,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1816,267.9353943,25.43105698,153.7458954,3.00783515,7.393915176,-0.000707635,0.000749778,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10361,342.8700562,27.441082,-110.0598221,3.293147087,11.51292515,0.007986081,0.000751759,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1937,242.889801,27.97162819,-187.3820038,3.366709471,13.30468464,-0.008338287,0.00075331,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2072,246.7993164,23.59686279,-54391.25,2.767704248,14.45736408,0.005576779,0.00075397,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
438,305.7467651,26.75363541,-9972.117188,3.193388224,13.12236309,0.005557202,0.00075649,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
